Name,Wiki Summary
Lindsey O. Graham,"Lindsey Olin Graham (born July 9, 1955) is an American lawyer and politician serving as the senior United States senator from South Carolina, a seat he has held since 2003. A member of the Republican Party, Graham served as chair of the Senate Committee on the Judiciary from 2019 to 2021."
Statement DOE,"John Doe (male) and Jane Doe (female) are multiple-use placeholder names that are used when the true name of a person is unknown or is being intentionally concealed. In the context of law enforcement in the United States, such names are often used to refer to a corpse whose identity is unknown or unconfirmed."
Stefan Lofven,"Kjell Stefan Löfven (Swedish pronunciation: [ˈstěːfan lœˈveːn]; officially Löfvén; born 21 July 1957) is a Swedish former politician who served as the Prime Minister of Sweden from October 2014 to November 2021 and leader of the Social Democratic Party from 2012 to 2021.After leaving school and completing military service in the Swedish Air Force, Löfven trained as a welder and began employment as a metalworker. At the same time, he became an active trade unionist."
Malcolm Turnbull,Malcolm Bligh Turnbull  (born 24 October 1954) is a former Australian politician  who served as the 29th prime minister of Australia from 2015 to 2018. He held office as leader of the Liberal Party of Australia.
Van Jackson,"Martin Van Buren ( van BYUR-ən; born Maarten van Buren (Dutch pronunciation: [ˈmaːrtə(ɱ) vɑm ˈbyːrə(n)]); December 5, 1782 – July 24, 1862) was an American lawyer and statesman who served as the 8th president of the United States from 1837 to 1841. A founder of the Democratic Party, he had previously served as the 9th governor of New York, the 10th United States secretary of state, and the 8th vice president of the United States."
Joseph Pae,"Mark Pae (1926–2013) was an Anglican bishop in the 20th century.
Pae was born in 1926 and educated at Nashotah House, Wisconsin and ordained deacon in 1954 and priest in 1956."
State Media North Korea,The mass media in North Korea is amongst the most strictly controlled in the world.  The constitution nominally provides for freedom of speech and the press.
Lee Hsien Loong,"Lee Hsien Loong (Chinese: 李显龙; pinyin: Lǐ Xiǎnlóng; born 10 February 1952) is a Singaporean politician and former brigadier-general who has served as Prime Minister of Singapore and secretary-general of the People's Action Party (PAP) since 2004. Prior to his appointment as prime minister, he served as the deputy prime minister between 1990 and 2004 and was the finance minister between 2001 and 2007."
Benjamin Netanyahu,"Benjamin ""Bibi"" Netanyahu (; Hebrew: בִּנְיָמִין נְתַנְיָהוּ‎ ; born 21 October 1949) is an Israeli politician who served as the ninth prime minister of Israel from 1996 to 1999 and from 2009 to 2021. Netanyahu currently serves as Leader of the Opposition and as the chairman of the Likud – National Liberal Movement."
Statement IAEA,"The International Atomic Energy Agency (IAEA) is an international organization that seeks to promote the peaceful use of nuclear energy, and to inhibit its use for any military purpose, including nuclear weapons. The IAEA was established as an autonomous organisation on 29 July 1957."
Christine Wormuth (OLD),"The United States Army (USA) is the land service branch of the United States Armed Forces. It is one of the eight U.S. uniformed services, and is designated as the Army of the United States in the U.S. Constitution."
Daryl Kimball,"The Arms Control Association is a United States-based nonpartisan membership organization founded in 1971, with the self-stated mission of ""promoting public understanding of and support for effective arms control policies.""The group publishes the monthly magazine Arms Control Today. It contains topical news updates as well as extended, footnoted articles."
Unnamed Iran Official,"On 5 December 2011, an American Lockheed Martin RQ-170 Sentinel unmanned aerial vehicle (UAV) was captured by Iranian forces near the city of Kashmar in northeastern Iran. The Iranian government announced that the UAV was brought down by its cyberwarfare unit which commandeered the aircraft and safely landed it, after initial reports from Western news sources disputedly claimed that it had been ""shot down""."
Bruce Bennett,"Bruce Bennett (born Harold Herman Brix, also credited Herman Brix; May 19, 1906 – February 24, 2007), was an American film and television actor who prior to his screen career was a highly successful college athlete in football and in both intercollegiate and international track-and-field competitions. In 1928 he won the silver medal for the shot put at the Olympic Games held in Amsterdam."
Statement Itar-Tass,"The Russian News Agency TASS (Russian: Информацио́нное аге́нтство Росси́и ТАСС, romanized: Informatsionnoye agentstvo Rossii TASS), abbreviated TASS (ТАСС), is a major Russian state-owned news agency founded in 1904. TASS is the largest Russian news agency and one of the largest news agencies worldwide.TASS is registered as a Federal State Unitary Enterprise, owned by the Government of Russia."
Advocacy Alliance Missile Defense,"The Missile Defense Advocacy Alliance is a non-profit organization advocating the development and deployment of missile defense for the United States and its allies. Founded in 2002, by Riki Ellison, it promotes United States Government missile defense strategies and technologies."
State Media China,"China Media Group (Chinese: 中央广播电视总台; lit. Central Radio-Television General Station) also known as Voice of China, is the predominant state media company by means of radio and television broadcasting in the People's Republic of China."
Chris Murphy,"Christopher Scott Murphy (born August 3, 1973) is an American lawyer, author, and politician serving as the junior United States senator from Connecticut since 2013. A member of the Democratic Party, he previously served in the United States House of Representatives, representing Connecticut's 5th congressional district from 2007 to 2013."
Yoon Young-chan,"Yoon Chan-young (born April 25, 2001) is a South Korean actor. He began his career as a child actor and gained wider recognition for his appearance in the 2022 Netflix series, All of Us Are Dead."
Joseph Dunford,"Joseph Francis Dunford Jr. KBE AO MSC OMRI (born December 23, 1955) is a retired United States Marine Corps four-star general, who served as the 19th chairman of the Joint Chiefs of Staff from October 1, 2015 until September 30, 2019."
Stephen Colbert ,"Stephen Tyrone Colbert ( kohl-BAIR; born May 13, 1964) is an American comedian, writer, producer, political commentator, actor, and television host. He is best known for hosting the satirical Comedy Central program The Colbert Report from 2005 to 2014 and the CBS talk program The Late Show with Stephen Colbert beginning in September 2015.Colbert originally studied to be a dramatic actor, but became interested in improvisational theater while attending Northwestern University, where he met Second City director Del Close."
